Date,EP03,PP01,TX02,TX04
2011/11/1,3.9,0,31.7,20.9
2011/11/2,3.1,0,32.2,23.3
2011/11/3,1.9,0,30.7,23.8
2011/11/4,4.6,0,32.5,24.7
2011/11/5,1.6,0,31.7,23.5
2011/11/6,3.3,0,31.2,22.7
2011/11/7,3.8,5.7,28.4,22.9
2011/11/8,1.8,16,29.7,22.1
2011/11/9,1,51.8,26.2,19.8
2011/11/10,0.5,63.9,21.3,19.5
2011/11/11,2.1,5.1,24.8,19.4
2011/11/12,2,0,27.6,20.5
2011/11/13,1.6,0,27,21.4
2011/11/14,4.9,0,28.7,21.1
2011/11/15,2.1,0,28,21.1
2011/11/16,1.6,0.4,26.9,22
2011/11/17,0.6,0.4,27.5,22.7
2011/11/18,0.2,0.1,27.7,22.2
2011/11/19,0.9,7.2,30.6,21.4
2011/11/20,3.2,0,26.3,20.6
2011/11/21,3.1,0,27.3,18.5
2011/11/22,2,0,27.5,20.2
2011/11/23,2.5,0,26.5,19.9
2011/11/24,2.8,0,26.2,18.3
2011/11/25,3.2,0,25.8,17.5
2011/11/26,0.6,0.1,25.1,19.4
2011/11/27,0.7,0,25.5,20
2011/11/28,2.1,0,27.5,18.3
2011/11/29,2.6,0,29.3,18.2
2011/11/30,4,0,28.5,20.5
2011/12/1,3.9,0,31.7,20.9
2011/12/2,3.1,0,32.2,23.3
2011/12/3,1.9,0,30.7,23.8
2011/12/4,4.6,0,32.5,24.7
2011/12/5,1.6,0,31.7,23.5
2011/12/6,3.3,0,31.2,22.7
2011/12/7,3.8,5.7,28.4,22.9
2011/12/8,1.8,16,29.7,22.1
2011/12/9,1,51.8,26.2,19.8
2011/12/10,0.5,63.9,21.3,19.5
2011/12/11,2.1,5.1,24.8,19.4
2011/12/12,2,0,27.6,20.5
2011/12/13,1.6,0,27,21.4
2011/12/14,4.9,0,28.7,21.1
2011/12/15,2.1,0,28,21.1
2011/12/16,1.6,0.4,26.9,22
2011/12/17,0.6,0.4,27.5,22.7
2011/12/18,0.2,0.1,27.7,22.2
2011/12/19,0.9,7.2,30.6,21.4
2011/12/20,3.2,0,26.3,20.6
2011/12/21,3.1,0,27.3,18.5
2011/12/22,2,0,27.5,20.2
2011/12/23,2.5,0,26.5,19.9
2011/12/24,2.8,0,26.2,18.3
2011/12/25,3.2,0,25.8,17.5
2011/12/26,0.6,0.1,25.1,19.4
2011/12/27,0.7,0,25.5,20
2011/12/28,2.1,0,27.5,18.3
2011/12/29,2.6,0,29.3,18.2
2011/12/30,4,0,28.5,20.5
2011/12/31,2.2,0,23.4,17.3
2012/1/1,1.7,0,17.8,14.6
2012/1/2,1.9,0,22.7,14.2
2012/1/3,2.4,0,25.3,13.1
2012/1/4,2.9,30.9,20.4,17.3
2012/1/5,1.4,0.5,27.5,18.2
2012/1/6,2.5,0,25.8,20.4
2012/1/7,2.6,0,23.6,16.4
2012/1/8,2.7,0.8,16.7,14.6
2012/1/9,0.9,0,19.9,14.3
2012/1/10,1,2.2,19.5,13.4
2012/1/11,2,0,22.5,16.4
2012/1/12,2.2,0.2,23.1,17.7
2012/1/13,1.5,1,25.4,18.3
2012/1/14,2.2,0,23.2,17.4
